country,The Year Sector Regulator Established
Afghanistan,None
Albania,1995
Algeria,2002
American Samoa,2010
Andorra,None
Angola,2016
Anguilla,None
Antigua and Barbuda,None
Argentina,1991
Armenia,1997
Aruba,None
Australia,2005
Austria,2001
Azerbaijan,2018
Bahamas,2015
Bahrain,None
Bangladesh,2003
Barbados,None
Belarus,None
Belgium,2000
Belize,2001
Benin,2015
Bermuda,2011
Bhutan,2001
Bolivia,1996
Bosnia and Herzegovina,2013
Botswana,2017
Brazil,1996
British Virgin Islands,None
Brunei,None
Bulgaria,1999
Burkina Faso,2007
Burundi,2018
Cape Verde,2018
Cambodia,2001
Cameroon,1998
Canada,1959
Cayman Islands,2010
Central African Republic,None
Chad,2018
Channel Islands,2001
Chile,1978
China,2002
Colombia,1994
Comoros,None - to be established
Democratic Republic of the Congo,None
Congo,None
Cook Islands,None
Costa Rica,None
Ivory Coast,2014
Croatia,2004
Cuba,None
Curaçao,None
Cyprus,2003
Czech Republic,2001
Denmark,2018
Djibouti,None
Dominica,2006
Dominican Republic,2002
Ecuador,2015
Egypt,2002
El Salvador,1997
Equatorial Guinea,None
Eritrea,None
Estonia,1999
Eswatini,2007
Ethiopia,2013
Faroe Islands,None
Fiji,2010
Finland,1995
France,2000
French Guiana,2000
French Polynesia,None
Gabon,2018
Gambia,2001
Georgia,1997
Germany,1998
Ghana,1997
Gibraltar,None
Greece,1999
Greenland,None
Grenada,2016
Guadeloupe,2000
Guam,2019
Guatemala,1996
Guernsey,2001
Guinea,2020
Guinea-Bissau,Planned
Guyana,1997
Haiti,2016
Honduras,1994
Hong Kong,None
Hungary,1994
Iceland,1967
India,1998
Indonesia,None
Iran,None
Iraq,None
Ireland,1999
Isle of Man,None
Israel,1996
Italy,1995
Jamaica,1997
Japan,2015
Jersey,None
Jordan,2001
Kazakhstan,None
Kenya,1997
Kiribati,None
North Korea,None
South Korea,2001
Kosovo,2004
Kuwait,None
Kyrgyzstan,2014
Laos,None
Latvia,2001
Lebanon,None
Lesotho,2004
Liberia,2017
Libya,None
Liechtenstein,None
Lithuania,1997
Luxembourg,2007
Macau,None
Madagascar,1998
Malawi,2007
Malaysia,2002
Maldives,2006
Mali,None
Malta,2002
Marshall Islands,None
Martinique,2000
Mauritania,None
Mauritius,2016
Mayotte,2000 (overseas French regulator)
Mexico,1995
Federated States of Micronesia,None
Moldova,1997
Monaco,None
Mongolia,2001
Montenegro,2004
Montserrat,None
Morocco,2020
Mozambique,2017
Myanmar,None
Namibia,2000
Nauru,None
Nepal,None
Netherlands,2013
New Caledonia,None
New Zealand,2003
Nicaragua,1998
Niger,2015
Nigeria,2005
Niue,None
Republic of North Macedonia,2003
Northern Mariana Islands,None
Norway,1991
Oman,2004
Pakistan,1997
Palau,None
Panama,1999
Papua New Guinea,2021
Paraguay,None
Peru,1996
Philippines,2001
Poland,1998
Portugal,1995
Puerto Rico,2014
Qatar,None
Réunion,None
Romania,1998
Russia,1995
Rwanda,2001
Samoa,2010
San Marino,2001
São Tomé and Príncipe,None
Saudi Arabia,2002
Senegal,1998
Serbia,2005
Seychelles,2009
Sierra Leone,2014
Singapore,2001
Sint Maarten,None
Slovakia,2001
Slovenia,2001
Solomon Islands,None
Somalia,2020
South Africa,2005
South Sudan,None
Spain,2013
Sri Lanka,2009
Saint Kitts and Nevis,None
Saint Lucia,None
Collectivity of Saint Martin,None
Saint Vincent and the Grenadines,None
Sudan,None
Suriname,2020
Sweden,2008
Switzerland,2006
Syria,None
Taiwan,None
Tajikistan,None
Tanzania,2006
Thailand,2008
Timor-Leste,2021
Togo,2000
Tonga,2007
Trinidad and Tobago,2001
Tunisia,None
Turkey,2001
Turkmenistan,None
Turks and Caicos Islands,None
Tuvalu,None
Uganda,2000
Ukraine,1994
United Arab Emirates,2010
United Kingdom,"1990 - offer
 2000 - ofgem"
United States,1977
Uruguay,2002
Uzbekistan,None - to be established
Vanuatu,None
Venezuela,None
Vietnam,2004
United States Virgin Islands,1974
Wallis and Futuna,None
Palestinian National Authority,2010
Yemen,None
Zambia,1997
Zimbabwe,2003
